ID;Nombre;Precio en $;Precio en Bs;Precio $ BCV;Inventario;Costos
217;Cinta Transparente 18 mm x50m (Teipe);1,20;92;1,36;5;6,79
218;Cinta Transparente GRANDE - Tirro;1,60;123;1,81;;0,00
219;Cinta Transparente PEQUEÑO - Tirro;1,00;77;1,13;;0,00
220;Cintillos para el cabello;1,60;123;1,81;;0,00
221;Citas Banco-Creación de usuarios;1,00;77;1,13;;0,00
222;Clear Skin Avon;4,00;308;4,53;4;18,12
223;Clip Blinder 32MM;0,30;23;0,34;21;7,13
224;Clips caja;0,80;62;0,91;2;1,81
225;Cloro 1L;1,30;100;1,47;;0,00
226;Cloro Medio Litro;0,62;48;0,70;;0,00
227;Cocosette;1,35;104;1,53;13;19,87
228;Colador de espagueti o pasta;2,50;193;2,83;2;5,66
229;Colador de jugo ;1,00;77;1,13;6;6,79
230;Colador para café;1,00;77;1,13;;0,00
231;Colas (KYSP);1,40;108;1,59;1;1,59
232;Colas 2 piezas;0,85;65;0,96;;0,00
233;Colas Grande;0,30;23;0,34;;0,00
234;Colas para el cabello- LIGAS;0,40;31;0,45;;0,00
235;Colas Pequeña ;0,45;35;0,51;;0,00
236;Coleto Mediano ;2,24;172;2,54;;0,00
237;Colonia Chicco;4,43;341;5,02;;0,00
238;Combo de cubierto ;3,00;231;3,40;;0,00
239;Combo de pinza para cabello (4 piezas);1,80;139;2,04;;0,00
240;Combo de salsas Fergos;2,85;219;3,23;;0,00
241;Compás plástico;1,20;92;1,36;7;9,51
242;Compotas Gerber Grandes;1,60;123;1,81;;0,00
243;Compotas Gerber Pequeñas;1,30;100;1,47;7;10,30
244;Compotas Osole ;0,90;69;1,02;100;101,91
245;Condimentos: adobo,ajo, color, onoto, orégano, saboseador, salsa para pasta, carmencita, comino;0,27;21;0,31;270;83,47
246;Condimentos:clavitos, manzanilla, pimienta negra, anis dulce, laurel, levadura, bicarbonato;0,40;31;0,45;188;85,15
247;Control remoto de TV BOX;6,00;462;6,79
248;Copa para uña ;0,80;62;0,91;24;21,74
249;Copias ;0,16;12;0,18;;0,00
250;Copias a color ;1,00;77;1,13;;0,00
251;Corneta para PC de barra;17,26;1329;19,54
252;Corneta Portable  -CAJÓN- inalámbrica;8,00;616;9,06;5;45,29
253;Corneta Portable  -JBL- inalámbrica;10,00;770;11,32;3;33,97
254;Corrector de ojeras;1,30;100;1,47;40;58,88
255;Corrector o Tipe ;1,50;116;1,70;37;62,85
256;Cortacutícula;2,00;154;2,26;17;38,50
257;Cortauñas grandes;1,00;77;1,13;10;11,32
258;Cortauñas PEQUEÑOS;0,80;62;0,91;14;12,68
259;Cortina FELIZ CUMPLEAÑOS ;1,50;116;1,70;7;11,89
260;Cortinas para baños  - número 1076;2,85;219;3,23;6;19,36
261;Cortinas para baños  - número 1718;1,60;123;1,81;6;10,87
262;Cotufas  amanecer de 400 gr;1,40;108;1,59;18;28,54
263;Cotufas Acarameladas - pequeñas;;0;0,00;;0,00
264;Cotufas Acarameladas - Pop-Bulls- FAMILIAR ;1,16;89;1,31;1;1,31
265;Cotufas Premiere 100 gr;0,40;31;0,45;;0,00
266;Creación de Correos;1,00;77;1,13;;0,00
267;Creación o actualización  de RIF;1,00;77;1,13;;0,00
268;Crema corporal 240ml;3,70;285;4,19;3;12,57
269;Crema corporal 85ml;1,62;125;1,83;30;55,03
270;Crema de arroz Primor - Bolsa de 400 gr;1,80;139;2,04;23;46,88
271;Crema de arroz Primor - POTE;2,26;174;2,56;4;10,24
272;Crema de dientes Aliden 100 gramos;1,41;109;1,60;33;52,69
273;Crema de dientes Colgate 90 gramos;1,55;119;1,76;21;36,86
274;Crema de dientes Colgate triple acción 60 gramos;1,48;114;1,68;6;10,06
275;Crema para manos;1,50;116;1,70;1;1,70
276;Crema para peinar ROLDA;3,30;254;3,74;7;26,16
277;Crema para peinar SKALA;6,50;501;7,36;12;88,32
278;Crema para zapatos;1,04;80;1,18;30;35,33
279;Crispisitos pequeños;0,40;31;0,45;18;8,15
280;Cuadernos;0,86;66;0,97;;0,00
281;Cubiertos desechables;1,00;77;1,13;23;26,04
282;Cubitos Laila;0,13;10;0,15
283;Cubitos Maggi;0,25;19;0,28;347;98,23
284;Cucharas de madera;1,22;94;1,38
285;Cuchillos - combo;12,00;924;13,59;3;40,76
286;Curitas - Medicare;0,11;8;0,12;200;24,23
287;Curriculum;1,50;116;1,70;;0,00
288;D;1,00;77;1,13;4;4,53
289;Dalvito 200gr;4,05;312;4,59;2;9,17
290;De todito queso ;1,05;81;1,19;;0,00
291;Delineador ;2,00;154;2,26;;0,00
292;Desengrasante Litro;1,55;119;1,76;;0,00
293;Desinfectante 1 Litro;1,30;100;1,47;;0,00
294;Desinfectante Medio Litro;0,63;48;0,71;;0,00
295;Desodorante de pote Alive peq.;1,55;119;1,76;22;38,61
296;Desodorante de sobre Alive;1,50;116;1,70;35;59,45
297;Desodorante sobre Lady Speed Stick ;0,40;31;0,45;130;58,88
298;Desodorante sobre Lady Speed Stick- Clinical Complete - Crema;0,53;41;0,60;20;12,00
299;Desodorante sobre Lady Speed -Xtreme Night;0,70;54;0,79;32;25,36
300;Desodorantes Lady Speed Stick - tubo;1,73;133;1,96;14;27,43
301;Diablito de 100gr;3,23;249;3,66;;0,00
302;Diablito de 54gr;1,76;136;1,99;18;35,87
303;Digibox -  TVBox -4GB-32GB;45,00;3465;50,96;1;50,96
304;Dorito Grande;3,50;270;3,96;5;19,82
305;Dorito pequeño;1,30;100;1,47;18;26,50
306;Ducream ;0,30;23;0,34;2;0,68
307;DVD Vírgenes;0,80;62;0,91;50;45,29
308;Efecto aurora de cuatro colores;4,04;311;4,57
309;Efecto aurora y espejo pequeños;1,50;116;1,70
310;Engrapadora mini ;4,50;347;5,10;5;25,48
311;Escarcha ;0,50;39;0,57;7;3,96
312;Escarcha para uñas (COMBO DE 6);2,50;193;2,83;5;14,15
313;Escarcha para uñas (INDIVIDUAL);0,42;32;0,48;;0,00
314;Esencia ;1,22;94;1,38;6;8,29
315;Espejo pequeño;2,01;155;2,28;6;13,66
316;Esponjas de Alambre - 4 unidades;;0;0,00;;0,00
317;Esponjas de Alambre - Saquito;0,70;54;0,79;;0,00
318;Esponjas de Alambre R&D;0,62;48;0,70;17;11,94
319;Esponjas de Alambre súper brillo;0,45;35;0,51;;0,00
320;Esponjas de maquillaje - Paquete;2,00;154;2,26;5;11,32
321;Esponjas de maquillaje individual;0,60;46;0,68;30;20,38
322;Esponjas Doble Uso;0,50;39;0,57;28;15,85
323;Esponjas escarchadas c/u;0,36;28;0,41;;0,00
324;Esponjas Lustrillo;0,25;19;0,28;;0,00
325;Estambre;3,00;231;3,40;5;16,99
326;Estuche geométrico ;2,42;186;2,74;1;2,74
327;Etiquetas para cuadernos ;0,80;62;0,91;7;6,34
328;Etiquetas para uñas ;1,62;125;1,83;12;22,01
329;Exactos pequeños;1,00;77;1,13;8;9,06
330;Exfoliante para pies Jelly Spa;2,50;193;2,83;4;11,32
331;Extensión eléctrica blanca- 3.6 m;2,93;226;3,32
332;Extensión eléctrica naranja- 7.5 m;6,14;473;6,95
333;Face Body (Cristal facial);1,00;77;1,13;2;2,26
334;Fichas para anotar;0,00;0;0,00;71;0,00
335;Filtro de agua ;9,00;693;10,19;2;20,38
336;Flips de caja ;4,85;373;5,49;5;27,46
337;Flips GRANDE 120gr;2,73;210;3,09;3;9,27
338;Flips pequeño 28 gr;0,78;60;0,88;;0,00
339;foa;48,00;3696;54,35;1;54,35
340;Freegells ;0,35;27;0,40;;0,00
341;Fructus 15 gr;0,17;13;0,19;;0,00
342;Fruticas - Frunas;0,11;9;0,13;;0,00
343;Fruty Aros pequeño ;0,50;39;0,57;;0,00
344;Fundas protectoras ;0,18;14;0,20;;0,00
345;Gachetas de lujo (FM);1,50;116;1,70;;0,00
346;Galak tubito SAVOY ;0,51;39;0,58;20;11,55
347;Galleta BELVITA HONY - KRAKER ;0,40;31;0,45;26;11,78
348;Galleta Club Social Individual;0,35;27;0,40;6;2,38
349;Galleta Club Social paquete;2,07;159;2,34;13;30,47
350;Galleta Dani Chip Chocolate;0,16;12;0,18;45;8,15
351;Galleta Festival ;0,50;39;0,57;5;2,83
352;Galleta María Individual - Caledonia;0,20;15;0,23;;0,00
353;Galleta María Individual - Puig;0,23;18;0,26;4;1,04
354;Galleta María paquete- Caledonia de 6 unidades;1,08;83;1,22;;0,00
355;Galleta María paquete- Caledonia de 9 unidades;1,42;109;1,61;;0,00
356;Galleta María paquete- Puig;2,05;158;2,32;14;32,50
357;Galleta Marilu individual 1 GALLETA;0,20;15;0,23;13;2,94
358;Galleta Marilu individual 2 GALLETAS ;0,40;31;0,45;7;3,17
359;Galleta Marilu paquete;2,47;190;2,80;;0,00
360;Galleta Oreo;0,60;46;0,68;53;36,01
361;Galleta Oreo - Fudge;0,66;51;0,75;4;2,99
362;Galleta Soda;0,20;15;0,23;;0,00
363;Galleta Soda paquete;1,95;150;2,21;;0,00
364;Galleta Sorbeticos;0,50;39;0,57;;0,00
365;Galleta tartaleta Tigo;1,00;77;1,13;37;41,90
366;Galleta tip-top tubo;1,05;81;1,19;34;40,43
367;Galletas Chips Ahoy - Individual;0,61;47;0,69;11;7,60
368;Galletas Chips Ahoy - Paquete;3,75;289;4,25;1;4,25
369;Galletas María Delicia;0,80;62;0,91;30;27,18
370;Ganchetas de plástico grandes;1,20;92;1,36;12;16,31
371;Ganchetas mariposas;1,10;85;1,25;2;2,49
372;Ganchetas para secado -Toni&Guy (individual);0,40;31;0,45;2;0,91
373;Ganchetas transparente de flores ;1,00;77;1,13;6;6,79
374;Ganchitos de niña de dibujos;0,40;31;0,45;50;22,65
375;Gancho negro para rollos ;0,60;46;0,68;4;2,72
376;Gancho o pinzas para ropa - MADERA;1,44;111;1,63;7;11,41
377;Gancho o pinzas para ropa - PL�?STICO;1,58;122;1,79;7;12,52
378;Gancho para el cabello ;0,38;29;0,43;;0,00
